Business Name,Physical Address,Physical Address Number,Physical Address Name,Physical Address Suffix,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,Main Line of Business,Primary SIC,Primary SIC Description,NAICS 1,NAICS 1 Description,Non-Profit,Number of PCs,Public / Private,Square Footage,Website,Women Owned,Year Established,Fortune 1000 Ranking,Credit Score,2017 Revenue/Yr,2016 Revenue/Yr,2015 Revenue/Yr,2016 % Sales Growth,2015 % Sales Growth,Home Based Business,Holding Parent Name,Franchise Type
Bank News,4025 Clark Ave,4025,Clark,Ave,Cleveland,OH,44109,1128,Gilberto Caferelli,Gilberto,Caferelli,Owner,Male,23,,"$2,659,575 ",(216) 281-8777,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.46957799,-81.71243597,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,25 to 99,Private,"10,000 to 49,999",,No,1976,,95,3883792,4559234,4221513,-14.81,8,No,,
Beacon Journal,1485 Corporate Woods Pkwy,1485,Corporate ,Pkwy,Uniontown,OH,44685,7816, ,,,,,7,,"$802,467 ",(330) 899-9009,N/A,N/A,Summit,"Up to 24,999","Canton-Massillon, OH",40.9650566,-81.4738308,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,2014,,75,802467,802467,1031743,0,-22.22,No,,
Bellville Star,107 Main St,107,Main,St,Bellville,OH,44813,1020,Gary Hirt,Gary,Hirt,Chief Executive Officer,Male,7,,"$791,921 ",(419) 886-2704,(419) 886-2704,N/A,Richland,"Up to 24,999","Mansfield, OH",40.6208427,-82.5111476,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.bellvillestar.com,No,1922,,86,791921,678790,678790,16.67,0,No,,
Best Point Publishing Co,70 4th St Nw Ste 1,70,4th,St,Barberton,OH,44203,8283,Cheryl Devplant,Cheryl,Devplant,Manager,Female,12,,"$1,375,657 ",(330) 753-1068,(330) 753-1021,N/A,Summit,"25,000 to 49,999","Akron, OH",41.012213,-81.610006,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.barbertonherald.com,No,1923,,89,1375657,1261019,1834210,9.09,-31.25,No,,
Boardman News,8302 Southern Blvd Ste 2,8302,Southern,Blvd,Youngstown,OH,44512,3390,John Darnell,John,Darnell,Owner,Male,7,,"$800,174 ",(330) 758-6397,N/A,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",40.996965,-80.654952,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.boardmannews.net,No,1947,,90,800174,800174,685864,0,16.67,No,,
Brecksville-Broadview Gazette,7770 Brecksville Rd,7770,Brecksvill,Rd,Brecksville,OH,44141,1000,Joyce McFadden,Joyce,McFadden,Executive Officer,Female,7,,"$809,436 ",(440) 526-7977,(440) 526-7114,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.350867,-81.633947,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.gazette-news.com,No,1975,,86,809436,1040703,1040703,-22.22,0,No,,
Budget Publishing,134 Factory St Ne,134,Factory,St,Sugarcreek,OH,44681,,David Spector,David,Spector,Owner,Male,16,,"$2,235,524 ",(330) 852-4634,(330) 852-4421,N/A,Tuscarawas,"Up to 24,999","New Philadelphia-Dover, OH",40.50320193,-81.63929065,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,10 to 24,Private,"1,000 to 4,999",www.thebudgetnewspaper.com,No,1890,,93,2235524,1816363,2375244,23.08,-23.53,No,,
Business Journal,25 E Boardman St Ste 306,25,Boardman,St,Youngstown,OH,44503,1803,Andrea Wood,Andrea,Wood,President,Unknown,13,,"$1,486,038 ",(330) 744-5023,(330) 744-5838,(800) 837-6397,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.098635,-80.649184,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.businessjournaldaily.com,No,1984,,93,1486038,914485,800174,62.5,14.29,No,,
Call & Post Newspapers,11800 Shaker Blvd,11800,Shaker,Blvd,Cleveland,OH,44120,1919,Don King,Don,King,President,Male,15,,"$1,734,505 ",(216) 588-6700,(216) 588-6723,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4837389,-81.60105432,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.callandpost.com,No,1916,,89,1734505,2197040,2197040,-21.05,0,No,,
Catholic Exponent Inc,144 W Wood St,144,Wood,St,Youngstown,OH,44503,1030,Annetta Sweetko,Annetta,Sweetko,Executive Officer,Female,7,,"$1,045,113 ",(330) 744-5251,(330) 744-5252,N/A,Mahoning,"50,000 to 99,999","Youngstown-Warren-Boardman, OH",41.103092,-80.65004,Advertising Agencies,7311001,Advertising Agencies,541810,Advertising Agencies,No,10 to 24,Private,"1,000 to 4,999",www.doy.org,No,1943,,90,1045113,1343717,1045113,-22.22,28.57,No,,
Chesterland News LLC,8389 Mayfield Rd Ste B-5,8389,Mayfield,Rd,Chesterland,OH,44026,2553,Pam Gable,Pam,Gable,Owner,Female,5,,"$578,169 ",(440) 729-7667,(440) 729-8240,N/A,Geauga,"Up to 24,999","Cleveland-Elyria, OH",41.521332,-81.3431,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.chesterlandnews.com,Yes,1967,,86,578169,346901,115634,66.67,200,No,,
Chronicle,203 W 9th St,203,9th,St,Lorain,OH,44052,1906, ,,,,,7,,"$809,436 ",(440) 244-6297,N/A,N/A,Lorain,"50,000 to 99,999","Cleveland-Elyria, OH",41.462547,-82.173569,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,2013,,78,809436,693802,578169,16.67,20,No,,
Chronicle Telegram,885 W Liberty St,885,Liberty,St,Medina,OH,44256,1312,George Hudnutt,George,Hudnutt,Owner,Male,7,,"$809,436 ",(330) 725-4166,N/A,N/A,Medina,"25,000 to 49,999","Cleveland-Elyria, OH",41.140888,-81.884274,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.chroniclet.com,No,2010,,90,809436,809436,693802,0,16.67,No,,
City News Newspaper,6781 Chargin Blvd,6781,Chargin,Blvd,Beachwood,OH,44122,, ,,,,,7,,"$809,436 ",(216) 591-1900,N/A,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.47054,-81.51097,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.citynewsohio.com,No,,,86,809436,925070,925070,-12.5,0,No,,
Cleveland Call & Post,11800 Shaker Blvd,11800,Shaker,Blvd,Cleveland,OH,44120,1919,Dale Edwards,Dale,Edwards,General Manager,Male,15,,"$1,734,505 ",(216) 791-7600,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4837389,-81.60105432,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.callandpost.com,No,1998,,89,1734505,1734505,1850139,0,-6.25,No,,
Cleveland Free Times,800 W Saint Clair Ave Fl 2,800,Saint Clai,Ave,Cleveland,OH,44113,1266,Dave Crompton,Dave,Crompton,Executive Officer,Male,7,,"$809,436 ",(216) 479-2033,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4994367,-81.6996318,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.freetimes.com,No,2008,,86,809436,693802,462535,16.67,50,No,,
Construction Equipment Guide,43 Monroe St,43,Monroe,St,Berea,OH,44017,2506,Ed Bryden,Ed,Bryden,Manager,Male,3,,"$346,901 ",(440) 243-9690,(440) 243-9691,(800) 810-7640,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.360914,-81.851668,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,Up to 4,Private,"1,000 to 4,999",www.constructionequipmentguide.com,No,1957,,87,346901,462535,231267,-25,100,Yes,,
Coshocton County Advertiser Inc,550 Main St,550,Main,St,Coshocton,OH,43812,1612,Terri Tokie,Terri,Tokie,President,Female,9,,"$962,771 ",(740) 622-1122,(740) 295-3461,N/A,Coshocton,"Up to 24,999","Coshocton, OH",40.2737138,-81.8617783,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"1,000 to 4,999",www.coshoctontribune.com,No,1981,,86,962771,1176721,1497644,-18.18,-21.43,No,,
Crain Communications,2291 Riverfront Pkwy Ste 1000,2291,Riverfront,Pkwy,Cuyahoga Falls,OH,44221,2584,Diana Koantz,Diana,Koantz,Owner,Female,16,,"$1,834,210 ",(330) 836-9180,(330) 836-2365,N/A,Summit,"25,000 to 49,999","Akron, OH",41.1367755,-81.4817174,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.crain.com,Yes,1971,,93,1834210,2292762,1834210,-20,25,No,,
Daily Globe,,,,,Shelby,OH,44875,, ,,,,,1,,"$113,132 ",(419) 342-3261,N/A,N/A,Richland,"Up to 24,999","Mansfield, OH",40.88144,-82.65097,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,Up to 4,Private,Up to 999,,No,2017,,72,113132,113132,0,0,0,No,,
Daily Record,25 N Clay St,25,Clay,St,Millersburg,OH,44654,1117, ,,,,,7,,"$748,822 ",(330) 674-5680,N/A,N/A,Holmes,"Up to 24,999",,40.554692,-81.916986,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.the-daily-record.com,No,2013,,78,748822,962771,1069746,-22.22,-10,No,,
Douthit Communications Inc,158 Lear Rd,158,Lear,Rd,Avon Lake,OH,44012,1982, ,,,,,7,,"$809,436 ",(440) 871-5797,N/A,N/A,Lorain,"Up to 24,999","Cleveland-Elyria, OH",41.507526,-81.988615,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,809436,578169,0,40,0,No,,
Downtown Tab,401 Euclid Ave,401,Euclid,Ave,Cleveland,OH,44114,2233, ,,,,,7,,"$809,436 ",(216) 621-2118,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4999765,-81.6904518,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,78,809436,925070,693802,-12.5,33.33,No,,
Eastern Ohio Newspapers,,,,,Warren,OH,44481,, ,,,,,1,,"$114,311 ",(330) 629-6210,N/A,N/A,Trumbull,"25,000 to 49,999","Youngstown-Warren-Boardman, OH",41.22645,-80.8653,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,Up to 4,Private,Up to 999,,No,1990,,83,114311,114311,114311,0,0,No,,
East Side Daily News,11400 Woodland Ave,11400,Woodland,Ave,Cleveland,OH,44104,2636,Ulysses Glen,Ulysses,Glen,Manager,Male,4,,"$462,535 ",(216) 721-1674,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.488023,-81.60552,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.eastsidedailynews.com,No,1980,,83,462535,578169,809436,-20,-28.57,No,,
El Latino Expreso,1657 Broadway,1657,Broadway,,Lorain,OH,44052,3439,Jeff Sudbrook,Jeff,Sudbrook,Manager,Male,7,,"$809,436 ",(440) 245-6901,N/A,N/A,Lorain,"50,000 to 99,999","Cleveland-Elyria, OH",41.455789,-82.165927,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,86,809436,809436,693802,0,16.67,No,,
Euclid Media Group LLC,737 Bolivar Rd Ste 4100,737,Bolivar,Rd,Cleveland,OH,44115,1259, ,,,,,7,,"$809,436 ",(216) 241-7550,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.497707,-81.686061,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,809436,925070,0,-12.5,0,No,,
Far Corner,13189 Mount Eaton St Sw,13189,Mount Eato,St,Navarre,OH,44662,9476,Cheryl Hintz,Cheryl,Hintz,Owner,Female,2,,"$326,118 ",(330) 767-3734,N/A,N/A,Stark,"Up to 24,999","Canton-Massillon, OH",40.706368,-81.606469,Lithographic Commercial Printing,2752001,Lithographic Commercial Printing,323111,Commercial Printing (except Screen and Books),No,Up to 4,Private,"1,000 to 4,999",,Yes,1997,,87,326118,326118,326118,0,0,Yes,,
Farming Magazine,,,,,,,,,David Kline,David,Kline,Manager,Male,15,,"$1,604,619 ",(800) 915-0042,N/A,N/A,Holmes,,,40.62389,-81.78421,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.farmingmagazine.net,No,,,78,1604619,1390670,1818568,15.38,-23.53,No,,
Firelands Farmer,211 W Main St,211,Main,St,New London,OH,44851,1069,Karla Souslin,Karla,Souslin,Manager,Female,9,,"$962,771 ",(419) 929-8043,N/A,N/A,Huron,"Up to 24,999","Norwalk, OH",41.085037,-82.409996,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"1,000 to 4,999",,No,1970,,86,962771,1176721,1176721,-18.18,0,No,,
Free Press Standard,43 E Main St,43,Main,St,Carrollton,OH,44615,1200,Carol McIntire,Carol,McIntire,Executive Officer,Female,5,,"$577,317 ",(330) 627-5591,N/A,N/A,Carroll,"Up to 24,999","Canton-Massillon, OH",40.5726609,-81.0852136,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.freepressstandard.com,No,,,75,577317,692780,808244,-16.67,-14.29,No,,
Gannett Co Inc,70 W 4th St,70,4th,St,Mansfield,OH,44903,1676, ,,,,,7,,"$791,921 ",(419) 562-3333,N/A,N/A,Richland,"25,000 to 49,999","Mansfield, OH",40.76122806,-82.51802739,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,791921,565658,0,40,0,No,,
Gatehouse Media LLC,729 Lincoln Way E,729,Lincoln,Way,Massillon,OH,44646,6829, ,,,,,7,,"$808,244 ",(330) 833-2631,N/A,N/A,Stark,"25,000 to 49,999","Canton-Massillon, OH",40.799003,-81.513952,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,808244,692780,0,16.67,0,No,,
Gatehouse Medla Ohio Holdings Inc,500 Market Ave S,500,Market,Ave,Canton,OH,44702,2112, ,,,,,7,,"$808,244 ",(330) 580-8300,N/A,N/A,Stark,"50,000 to 99,999","Canton-Massillon, OH",40.795471,-81.375658,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,808244,923707,0,-12.5,0,No,,
Gateway Newstand,230 W Huron Rd Ste 8503,230,Huron,Rd,Cleveland,OH,44113,1452, ,,,,,10,,"$1,762,752 ",(216) 781-6054,(216) 736-7640,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4971733,-81.6940218,Convenience Stores,5411002,Convenience Stores,445120,Convenience Stores,No,5 to 9,Private,"1,000 to 4,999",www.gatewaynewstands.com,No,2002,,93,1762752,1586477,1410202,11.11,12.5,No,,
Gay Peoples Chronicle,,,,,,,,,Jason Emmett,Jason,Emmett,Chief Operating Officer,Male,7,,"$809,436 ",(216) 916-9338,N/A,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.38631,-81.44524,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.gaypeopleschronicle.com,No,,,86,809436,809436,693802,0,16.67,No,,
Geauga County Maple Leaf,101 South St,101,South,St,Chardon,OH,44024,1336,Jeffrey Karlovee,Jeffrey,Karlovee,Manager,Male,7,,"$809,436 ",(440) 285-2013,(440) 285-2015,N/A,Geauga,"Up to 24,999","Cleveland-Elyria, OH",41.58096,-81.20327667,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.geaugamapleleaf.com,No,,,86,809436,693802,925070,16.67,-25,No,,
General Video of America,3700 Kelley Ave,3700,Kelley,Ave,Cleveland,OH,44114,4592, ,,,,,7,,"$809,436 ",(216) 391-4800,N/A,(800) 321-9858,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.50799358,-81.66236141,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.gva-twn.com,No,1967,,86,809436,809436,925070,0,-12.5,No,,
Good News,14905 N State Ave,14905,State,Ave,Middlefield,OH,44062,9747,Ken Douthit,Ken,Douthit,Owner,Male,15,,"$1,734,505 ",(440) 632-0130,(440) 632-0877,N/A,Geauga,"Up to 24,999","Cleveland-Elyria, OH",41.462742,-81.072698,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.good-news.com,No,1934,,89,1734505,1503238,1387604,15.38,8.33,No,,
Harrison News Herald,144 S Main St Ste 1,144,Main,St,Cadiz,OH,43907,1165,Emily Schloss,Emily,Schloss,President,Female,10,,"$1,069,746 ",(740) 942-2118,N/A,N/A,Harrison,"Up to 24,999",,40.271298,-80.999559,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",www.harrisonnewsherald.com,No,1907,,93,1069746,1283695,1390670,-16.67,-7.69,No,,
Heartland Education Community,133 N Main St,133,Main,St,Orrville,OH,44667,1637,Carol Ubelhart,Carol,Ubelhart,Manager,Female,1,,"$106,975 ",(330) 684-1115,N/A,N/A,Wayne,"Up to 24,999","Wooster, OH",40.841216,-81.764653,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,Up to 4,Private,Up to 999,www.heartlandorrville.com,No,2003,,83,106975,106975,106975,0,0,No,,
Heat Treating Progress,9639 Kinsman Rd,9639,Kinsman,Rd,Novelty,OH,44072,9603,Stanley Theobald,Stanley,Theobald,Executive Officer,Male,7,,"$809,436 ",(440) 338-5151,N/A,N/A,Geauga,"Up to 24,999","Cleveland-Elyria, OH",41.460683,-81.299868,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.asminternational.org,No,2013,,78,809436,578169,578169,40,0,No,,
High Point,700 Carnegie Ave,700,Carnegie,Ave,Cleveland,OH,44115,2833, ,,,,,7,,"$809,436 ",(800) 954-8742,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.4948207,-81.6836593,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.highpoint.edu,No,,,86,809436,925070,1156337,-12.5,-20,No,,
Hometown Journal,32 State St Ste 204,32,State,St,Struthers,OH,44471,1952,Nancy Johngrass,Nancy,Johngrass,Owner,Female,7,,"$800,174 ",(330) 755-2155,(704) 334-4237,N/A,Mahoning,"Up to 24,999","Youngstown-Warren-Boardman, OH",41.056206,-80.589447,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.hometownjournal.biz,Yes,2009,,86,800174,914485,800174,-12.5,14.29,No,,
Independent Quality Time Massillon,729 Lincoln Way E,729,Lincoln,Way,Massillon,OH,44646,6829, ,,,,,7,,"$808,244 ",(330) 833-7554,N/A,N/A,Stark,"25,000 to 49,999","Canton-Massillon, OH",40.799003,-81.513952,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.indeonline.com,No,,,75,808244,923707,1154634,-12.5,-20,No,,
Jewish Community Federation,25701 Science Park Dr,25701,Science Pa,Dr,Beachwood,OH,44122,7302,Abigail Levin,Abigail,Levin,Executive Officer,Female,6,,N/A,(216) 593-2780,N/A,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.471583,-81.496411,Religious Organizations & Institutions,8661001,Religious Organizations & Institutions,813110,Religious Organizations,Yes,5 to 9,Private,"1,000 to 4,999",www.jewishcleveland.org,No,1979,,0,0,0,0,0,0,No,,
Jewish Community Federation,432 30th St Nw,432,30th,St,Canton,OH,44709,3108, ,,,,,7,,"$808,244 ",(330) 452-6444,(330) 452-4487,N/A,Stark,"50,000 to 99,999","Canton-Massillon, OH",40.830364,-81.374017,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.jewishcanton.org,No,,,86,808244,923707,1039171,-12.5,-11.11,No,,
Jewish Family Services,2631 Harvard Ave Nw,2631,Harvard,Ave,Canton,OH,44709,3147,Greg Luntz,Greg,Luntz,President,Male,3,,"$187,474 ",(330) 452-6444,(330) 452-4487,N/A,Stark,"50,000 to 99,999","Canton-Massillon, OH",40.825778,-81.372581,Counselors & Counseling Services,8322002,Counselors & Counseling Services,624190,Other Individual and Family Services,No,5 to 9,Private,Up to 999,www.jewishcanton.org,No,1978,,0,187474,124983,187474,50,-33.33,No,,
John Bee & Famiglia LLC,1062 Hillcrest Dr,1062,Hillcrest,Dr,Tallmadge,OH,44278,1116,John Bee,John,Bee,Owner,Male,7,,"$802,467 ",(330) 630-4490,N/A,N/A,Summit,"Up to 24,999","Akron, OH",41.120026,-81.401041,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,2013,,78,802467,1031743,802467,-22.22,28.57,Yes,,
Karen Alexanderperry,899 Bellvue Dr,899,Bellvue,Dr,Orwell,OH,44076,,Karen Alexander-Perry,Karen,Alexander-Perry,Manager,Female,7,,"$748,822 ",(440) 350-0928,N/A,N/A,Ashtabula,"Up to 24,999","Ashtabula, OH",41.53508,-80.85857,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.alex-perry.net,No,2016,,75,748822,962771,1069746,-22.22,-10,No,,
Kelleys Life,519 Titus Rd,519,Titus,Rd,Kelleys Island,OH,43438,6581,John Bauswein,John,Bauswein,President,Male,15,,"$1,604,619 ",(419) 746-5433,N/A,N/A,Erie,"Up to 24,999","Sandusky, OH",41.61312674,-82.71886394,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,10 to 24,Private,"5,000 to 9,999",,No,1997,,89,1604619,1711594,2032517,-6.25,-15.79,No,,
Kellys Life,517 Division St,517,Division,St,Kelleys Island,OH,43438,6519, ,,,,,7,,"$748,822 ",(419) 746-2167,N/A,N/A,Erie,"Up to 24,999","Sandusky, OH",41.60536068,-82.7087913,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,2015,,75,748822,534873,641848,40,-16.67,No,,
Knowles Press Inc,316 E Maple St,316,Maple,St,Hartville,OH,44632,8880,Rosalee Haines,Rosalee,Haines,President,Female,5,,"$815,295 ",(330) 877-9345,N/A,N/A,Stark,"Up to 24,999","Canton-Massillon, OH",40.962555,-81.327752,Commercial Printing,2759001,Commercial Printing,323111,Commercial Printing (except Screen and Books),No,5 to 9,Private,"1,000 to 4,999",www.knowlespress.com,No,1925,,90,815295,1141413,1304472,-28.57,-12.5,No,,
Lake Community News,7537 Mentor Ave Ste 207c,7537,Mentor,Ave,Mentor,OH,44060,5464,Deanne Nelisse,Deanne,Nelisse,Owner,Female,7,,"$809,436 ",(440) 946-2577,(440) 946-0527,N/A,Lake,"25,000 to 49,999","Cleveland-Elyria, OH",41.656208,-81.372443,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,Yes,1987,,90,809436,809436,1040703,0,-22.22,No,,
Lithuanian National Newspaper,6001 Cochran Rd,6001,Cochran,Rd,Solon,OH,44139,3310,A Matulionis,A,Matulionis,Manager,Male,7,,"$809,436 ",(216) 531-8150,(216) 531-8428,N/A,Cuyahoga,"Up to 24,999","Cleveland-Elyria, OH",41.396909,-81.468258,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.statefarm.com,No,1915,,86,809436,693802,809436,16.67,-14.29,No,,
Locomotive Engineers Journal,1370 Ontario St,1370,Ontario,St,Cleveland,OH,44113,1812,Ed Rodzwicz,Ed,Rodzwicz,Chief Executive Officer,Male,7,,"$809,436 ",(216) 241-2630,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.500851,-81.695341,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",www.ble-t.org,No,2013,,78,809436,925070,1040703,-12.5,-11.11,No,,
Lodging Hospitality,1300 E 9th St,1300,9th,St,Cleveland,OH,44114,1501,Edward Watkins,Edward,Watkins,Manager,Male,7,,"$809,436 ",(216) 696-7000,N/A,N/A,Cuyahoga,"250,000 to 499,999","Cleveland-Elyria, OH",41.5041933,-81.690835,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,2013,,78,809436,1040703,1271971,-22.22,-18.18,No,,
Lorain County Printing Publishing Co,225 East Ave,225,East,Ave,Elyria,OH,44035,5634, ,,,,,7,,"$809,436 ",(440) 329-7000,N/A,N/A,Lorain,"50,000 to 99,999","Cleveland-Elyria, OH",41.365747,-82.104357,Newspapers Publishing & Printing,2711001,Newspapers Publishing & Printing,511110,Newspaper Publishers,No,5 to 9,Private,"1,000 to 4,999",,No,,,69,809436,809436,0,0,0,No,,
